# z_bin_left flux_sum
0.0	0.0
0.1	0.001822165331657698
0.2	0.002643574053157928
0.3	0.003362381542570454
0.4	0.00418390696490248
0.5	0.0050129353349894126
0.6	0.005887638780970147
0.7	0.0067500270573790586
0.8	0.007578141172030449
0.9	0.008355778414791695
1.0	0.00907019474175174
1.1	0.009673906101426898
1.2	0.010194032792515509
1.3	0.010603216837106782
1.4	0.010878501898873197
1.5	0.011021164086814486
1.6	0.011095916028603683
1.7	0.0110360999343257
1.8	0.010835436064667374
1.9	0.01056133593285592
2.0	0.010200058049958787
2.1	0.009381469105829814
2.2	0.00824038934006797
2.3	0.007202091587834852
2.4	0.0062258246299630535
2.5	0.005361639447904128
2.6	0.004603365142843407
2.7	0.003910806388222906
2.8	0.0033035920699478706
2.9	0.0027646216174056584
3.0	0.002307291838105422
3.1	0.0019061785585086787
3.2	0.0015491187348352236
3.3	0.0012506461689135637
3.4	0.000991260967775014
3.5	0.00077035935636587
3.6	0.000583052590752389
3.7	0.0004173705528629319
3.8	0.0002820964873306665
3.9	0.00017392622656282663
4.0	9.320349830995562e-5
4.1	3.89903468550715e-5
4.2	7.249343140005367e-6
4.3	0.0
4.4	0.0
4.5	0.0
4.6	0.0
4.7	0.0
4.8	0.0
4.9	0.0
5.0	0.0
