    66    0.23804E-09    0.36078E-13   -0.53503E-12    0.72837E-06    0.13039E-08
    67    0.24122E-09    0.37677E-13   -0.58835E-12    0.72441E-06    0.12826E-08
    68    0.24446E-09    0.39310E-13   -0.64300E-12    0.72043E-06    0.12616E-08
    69    0.24773E-09    0.40973E-13   -0.69877E-12    0.71643E-06    0.12410E-08
    70    0.25103E-09    0.42670E-13   -0.75589E-12    0.71241E-06    0.12209E-08
    71    0.25435E-09    0.44400E-13   -0.81471E-12    0.70837E-06    0.12016E-08
    72    0.25770E-09    0.46160E-13   -0.87538E-12    0.70431E-06    0.11829E-08
    73    0.26106E-09    0.47944E-13   -0.93795E-12    0.70024E-06    0.11649E-08
    74    0.26445E-09    0.49752E-13   -0.10023E-11    0.69616E-06    0.11476E-08
    75    0.26789E-09    0.51585E-13   -0.10681E-11    0.69206E-06    0.11309E-08
    76    0.27136E-09    0.53442E-13   -0.11354E-11    0.68795E-06    0.11149E-08
    77    0.27488E-09    0.55324E-13   -0.12041E-11    0.68383E-06    0.10994E-08
    78    0.27845E-09    0.57232E-13   -0.12744E-11    0.67970E-06    0.10844E-08
    79    0.28204E-09    0.59161E-13   -0.13457E-11    0.67557E-06    0.10698E-08
    80    0.28567E-09    0.61110E-13   -0.14184E-11    0.67143E-06    0.10556E-08
    81    0.28933E-09    0.63073E-13   -0.14924E-11    0.66729E-06    0.10416E-08
    82    0.29301E-09    0.65052E-13   -0.15676E-11    0.66316E-06    0.10279E-08
    83    0.29672E-09    0.67045E-13   -0.16440E-11    0.65903E-06    0.10144E-08
    84    0.30047E-09    0.69051E-13   -0.17215E-11    0.65490E-06    0.10010E-08
    85    0.30424E-09    0.71066E-13   -0.18000E-11    0.65079E-06    0.98777E-09
    86    0.30803E-09    0.73091E-13   -0.18796E-11    0.64668E-06    0.97462E-09
    87    0.31187E-09    0.75124E-13   -0.19602E-11    0.64258E-06    0.96159E-09
    88    0.31572E-09    0.77165E-13   -0.20416E-11    0.63850E-06    0.94874E-09
    89    0.31961E-09    0.79213E-13   -0.21241E-11    0.63442E-06    0.93611E-09
    90    0.32354E-09    0.81264E-13   -0.22073E-11    0.63037E-06    0.92373E-09
    91    0.32748E-09    0.83316E-13   -0.22913E-11    0.62632E-06    0.91166E-09
    92    0.33146E-09    0.85367E-13   -0.23760E-11    0.62229E-06    0.89987E-09
    93    0.33547E-09    0.87417E-13   -0.24613E-11    0.61828E-06    0.88838E-09
